original,current,sha256_before,sha256_after,change
CLAUDE.md,CLAUDE.md,d1b648f7874dcda931dfbc4505308de74320dc5272aaa71480aa1c03b565d526,d1b648f7874dcda931dfbc4505308de74320dc5272aaa71480aa1c03b565d526,byte-identical
Consultry-Hypermock-MotionVid/pitch-video-layout-review/project/HANDOVER.md,Consultry-Hypermock-MotionVid/pitch-video-layout-review/project/HANDOVER.md,54fab4f8e3557578c8e0c45ee2e2ed9e44530fe1f6c9938b8ae079c4867cb0d6,9b0d99cfda75c54a009eb8fc511f233556d95657a71d04282d9fc393beb682f8,link-rebase
Consultry-Hypermock-MotionVid/pitch-video-layout-review/project/graph.md,Consultry-Hypermock-MotionVid/pitch-video-layout-review/project/graph.md,bc6e0af1e299a39ac0ef45137fcc4f341027f325614bdd17b962ee49dcbad207,dec8b0d0e07ef55182b9eeb1fa29fa4176e0885b0483608ff95cafec106db838,link-rebase
Consultry-Hypermock-MotionVid/pitch-video-layout-review/project/video-redline-index.md,Consultry-Hypermock-MotionVid/pitch-video-layout-review/project/video-redline-index.md,988cf437c167a3f99bdfe57a5c3f578794c89149ddda894fbaa3076046f4ab89,e9b05289f548a1991653aa43cec43b571de8ef9807cbe281d5a83f4c54908f39,link-rebase
Consultry-Hypermock-MotionVid/pitch-video-layout-review/project/video-redline-qa.md,Consultry-Hypermock-MotionVid/pitch-video-layout-review/project/video-redline-qa.md,18503e2ffd3667fb46c537c6e9078c449fa3177411c82788d5000ec5a5f91e8b,35cdfcd79629b130ad5c87756a5364efe4f8fe68cff4859b4ea2f8e35391f424,link-rebase
product-definition/AI-Audits_und_Dokumente/kfw/Consultry-StartGeld-200k-Antragsplan.md,product-definition/AI-Audits_und_Dokumente/kfw/Consultry-StartGeld-200k-Antragsplan.md,1f85a36bf0ee762411964179c1a24f91f0ea20852e567877519f6d4a566b6e77,03104c671c5763705ac57821cd7962399f70ea542bf74c63fcc27b2736a87a37,link-rebase
product-definition/Consultry_Vision.html,product-definition/archive/baseline-before-consolidation-2026-09-10/supplemental/Consultry_Vision.html,1baa31e2e0c04d1e83adc9bce7ab7424aebf869fb1f08bfc5831d0b447924866,1baa31e2e0c04d1e83adc9bce7ab7424aebf869fb1f08bfc5831d0b447924866,byte-identical
product-definition/README.md,product-definition/README.md,de06c396274add83e0cb70178d9a071c17b6f9c1a3f42f4293f8293a92b88175,00f37421bc88f7b6057110758ee725c46ec7ce0613d0d529142356b39bf20e17,link-rebase
product-definition/archive/MANIFEST.yaml,product-definition/archive/MANIFEST.yaml,19db89bee9ca97601959851efce77ccefe004cd3d21fe97cb01eb1dc7c495c24,19db89bee9ca97601959851efce77ccefe004cd3d21fe97cb01eb1dc7c495c24,byte-identical
product-definition/archive/README.md,product-definition/archive/README.md,f092c0fa8d69a9af99565da8025abefd4d6aba4eef98e564dfc49673297b502b,6c6c6941173a4bf676145b605af111cd4544b80d049134750cbdb8363307b3f0,link-rebase
product-definition/archive/intake-2026-09-05/README.md,product-definition/archive/intake-2026-09-05/README.md,d0805f1e63dc86d3463c3bd2170ddafba019a685e9660b7449aebec1885aa0a8,e1e9cde7c716cddb5df9c5330af54a9df2f9284574f2772ffb5f7523f4a804cf,link-rebase
product-definition/archive/legacy-v3/Consultry-PRD-v3.0-Final.md,product-definition/archive/legacy-v3/Consultry-PRD-v3.0-Final.md,1a274f6e59bdda277827ec1fd9127edf4fea7256b580d6ef2ca05df55740825b,6d134fef2dadc013995897ad2fee6c3983d211d5f2780ab5209f8467639263c3,link-rebase
product-definition/archive/legacy-v3/Kritische-Analyse-PRD-v3.0-vs-Personas-Journeys.md,product-definition/archive/legacy-v3/Kritische-Analyse-PRD-v3.0-vs-Personas-Journeys.md,e3d86a8181774d08b5951e87d454a0cea9fe82fe600e121dd2bff181abf30fad,bc4071764b5676806bdd202af266bf2c177f6416f47a41bb5069305016211d75,link-rebase
product-definition/archive/pre-pivot-gen-a/Consultry-DACH-Market-Thesis-v1.0.md,product-definition/archive/pre-pivot-gen-a/Consultry-DACH-Market-Thesis-v1.0.md,38bd77a56716e6f33e0fa2ef3dd8ab6f6ff315036871aaba40ab557649d9e424,28464bd1b1b097d5de0f7d948fe0c74727255dace9fe5e9c39655490a925c72d,link-rebase
product-definition/archive/pre-pivot-gen-a/Consultry-PRD-v4.0-DACH-Operating-System.md,product-definition/archive/pre-pivot-gen-a/Consultry-PRD-v4.0-DACH-Operating-System.md,e4ca0a4a98c0ce906481b3fbcccda4836892bfe4700a76f588414b1e127011df,fdaa026e548f9470327551ea077fab130772fbc7e938fbd8963bd33c22b56759,link-rebase
